,Protein_Names,Sample_Name,Hits
363,SRBS1-2_MOUSE;SRBS1-3_MOUSE;SRBS1-4_MOUSE;SRBS1-5_MOUSE;SRBS1-6_MOUSE;SRBS1-7_MOUSE;SRBS1_MOUSE,Q331K_M1,34017.6
364,SH3G1_MOUSE;SH3G2_MOUSE,Q331K_M1,194483.0
365,NDUA4_MOUSE,Q331K_M1,387870.0
366,CANB1-2_MOUSE;CANB1_MOUSE;CANB2_MOUSE,Q331K_M1,0.0
367,CAVN2_MOUSE,Q331K_M1,0.0
368,MEF2D-2_MOUSE;MEF2D_MOUSE,Q331K_M1,53671.1
369,SF01-2_MOUSE;SF01-3_MOUSE;SF01_MOUSE,Q331K_M1,639906.0
370,MYO6_MOUSE,Q331K_M1,421726.0
371,SYN2_MOUSE,Q331K_M1,365533.0
372,TBR1_MOUSE,Q331K_M1,348337.0
373,CH10_MOUSE,Q331K_M1,96818.5
374,H2A2B_MOUSE,Q331K_M1,2709150.0
375,VINC_MOUSE,Q331K_M1,11161300.0
376,SBNO1-2_MOUSE;SBNO1_MOUSE,Q331K_M1,250511.0
377,CLH1_MOUSE,Q331K_M1,152399.0
378,GIT1_MOUSE,Q331K_M1,423671.0
379,CDK13_MOUSE,Q331K_M1,96774.1
380,CDK13-2_MOUSE,Q331K_M1,691071.0
381,CE170_MOUSE,Q331K_M1,0.0
382,F120A_MOUSE,Q331K_M1,134140.0
383,UBP7-2_MOUSE;UBP7-3_MOUSE;UBP7_MOUSE,Q331K_M1,75735.7
